지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd)
119,수원,1983,11.4,-16.4,19831225,33.4,19830804,6.8,16.8,942.4,58.5,19830719
119,수원,1984,10.8,-17.9,19840105,34.4,19840810,6.1,16.3,1172.8,190.5,19840901
119,수원,1985,11.3,-18.6,19850117,34.7,19850823,6.7,16.3,1491,118.7,19851010
119,수원,1986,10.6,-20.1,19860106,32.5,19860802,5.9,16,1144.1,172.5,19860811
119,수원,1987,11.4,-16.9,19870114,32.5,19870626,6.8,16.8,1439.1,94.5,19870727
119,수원,1988,11.3,-12.8,19880208,35.4,19880810,6.4,17,849.8,95.8,19880720
119,수원,1989,12.3,-11.4,19890129,34.9,19890805,7.7,17.6,1217.7,107.8,19890821
119,수원,1990,12.4,-18.9,19900126,35,19900807,8.2,17.3,2043.6,276.3,19900910
119,수원,1991,11.7,-15.8,19910224,34.4,19910820,7,17.1,1320.4,218.2,19910721
119,수원,1992,11.9,-11.2,19920207,33.3,19920830,7.5,17.1,1129.4,169,19920827
119,수원,1993,11.5,-13,19930121,31.4,19930809,7,16.7,1162.9,152.6,19930729
119,수원,1994,13.2,-14.8,19940124,37.3,19940723,8.3,18.5,1045.6,101.3,19940828
119,수원,1995,11.9,-12.8,19950130,34.1,19950814,7,17.2,1653.3,227.3,19950819
119,수원,1996,12.1,-13.8,19960202,35.8,19960802,7.4,17.4,952.1,153.6,19960617
119,수원,1997,12.5,-14.2,19970122,33.9,19970726,7.8,17.8,1394.3,150.4,19970701
119,수원,1998,13.5,-15.1,19980124,32.5,19980729,9.1,18.6,1626.9,208.1,19980808
119,수원,1999,12.7,-11.9,19991221,34.8,19990810,8.3,18,1556.1,153,19990920
119,수원,2000,12.3,-13.9,20000121,34.2,20000704,7.8,17.3,1328.8,333.2,20000722
119,수원,2001,12.1,-18.3,20010115,34.3,20010817,7.7,17.1,1067.2,120.3,20010729
119,수원,2002,11.7,-13.3,20020103,34.5,20020727,7.2,16.5,1231.7,203,20020807
119,수원,2003,12.3,-16.2,20030106,31.3,20030822,7.9,17,1514.8,121.5,20030722
119,수원,2004,12.8,-15.9,20040122,35.1,20040811,8.3,18,1217,89.5,20040619
119,수원,2005,12,-14.4,20051218,35.1,20050806,7.7,16.9,1427.7,84.5,20050930
119,수원,2006,12.9,-13.2,20060204,35.9,20060808,8.7,18,1362.7,169.5,20060716
119,수원,2007,12.9,-9.9,20070114,33.2,20070811,8.6,17.8,1325,82,20070719
119,수원,2008,12.8,-12.1,20080117,35.7,20080808,8.2,18.1,1342.9,121,20080724
119,수원,2009,12.6,-14.6,20090125,34.8,20090816,8,17.9,1541.2,272.5,20090712
119,수원,2010,12.2,-18.6,20100106,34.2,20100805,7.9,17.1,1470.6,97.5,20100829
119,수원,2011,11.8,-16.9,20110116,35.8,20110718,7.4,16.8,1975.9,190,20110703
119,수원,2012,12.1,-16.2,20120203,37.4,20120805,7.7,17.2,1748.3,276.5,20120706
119,수원,2013,12.3,-18.1,20130104,34.7,20130822,7.8,17.5,1240.1,79,20130713
119,수원,2014,13.1,-11.1,20141218,34.6,20140725,8.5,18.6,1029.1,117.7,20140821
119,수원,2015,13.5,-11.7,20150209,35.3,20150807,8.8,19,751.1,64.7,20150729
119,수원,2016,13.6,-16.2,20160124,36.5,20160821,9,19.1,1023.4,104.2,20160701
119,수원,2017,12.6,-13.6,20170124,36.9,20170805,7.8,18.3,1328.6,130.8,20170820
119,수원,2018,12.7,-16.8,20180126,39.3,20180801,7.9,18.5,1293.1,124.8,20180828
